time_step,bicg_total_misses,bicg_dead_misses,atax_total_misses,atax_dead_misses
600,16,0,32,32
601,16,0,32,32
602,16,0,32,32
603,16,0,36,36
604,16,0,32,32
605,16,0,32,32
606,16,0,32,32
607,16,0,32,32
608,16,0,32,32
609,16,0,32,32
610,16,0,32,32
611,16,0,32,32
612,16,0,32,32
613,16,0,32,32
614,16,0,32,32
615,16,0,32,32
616,16,0,32,32
617,16,0,32,32
618,16,0,32,32
619,16,0,32,32
620,16,0,32,32
621,16,0,32,32
622,16,0,32,32
623,16,0,32,32
624,16,0,32,32
625,16,0,32,32
626,16,0,32,32
627,16,0,32,32
628,16,0,32,32
629,16,0,32,32
630,16,0,32,32
631,16,0,32,32
632,16,0,32,32
633,16,0,32,32
634,16,0,32,32
635,16,0,32,32
636,16,0,32,32
637,16,0,32,32
638,16,0,32,32
639,16,0,32,32
640,16,0,32,32
641,16,0,32,32
642,16,0,32,32
643,16,0,36,36
644,16,0,32,32
645,16,0,32,32
646,16,0,32,32
647,16,0,32,32
648,16,0,32,32
649,16,0,32,32
650,16,0,32,32
651,16,0,32,32
652,16,0,32,32
653,16,0,32,32
654,16,0,32,32
655,16,0,32,32
656,16,0,32,32
657,16,0,32,32
658,16,0,32,32
659,16,0,36,36
660,16,0,32,32
661,16,0,32,32
662,16,0,32,32
663,16,0,32,32
664,16,0,32,32
665,16,0,32,32
666,16,0,32,32
667,16,0,32,32
668,16,0,32,32
669,16,0,32,32
670,16,0,32,32
671,16,0,32,32
672,16,0,32,32
673,16,0,32,32
674,16,0,32,32
675,16,0,36,36
676,16,0,32,32
677,16,0,32,32
678,16,0,32,32
679,16,0,32,32
680,16,0,32,32
681,16,0,32,32
682,16,0,32,32
683,16,0,32,32
684,16,0,32,32
685,16,0,32,32
686,16,0,32,32
687,16,0,32,32
688,16,0,32,32
689,16,0,32,32
690,16,0,32,32
691,16,0,32,32
692,16,0,32,32
693,16,0,32,32
694,16,0,32,32
695,16,0,32,32
696,16,0,32,32
697,16,0,32,32
698,16,0,32,32
699,16,0,32,32
700,16,0,32,32
701,16,0,32,32
702,16,0,32,32
703,16,0,32,32
704,16,0,32,32
705,16,0,32,32
706,16,0,32,32
707,16,0,32,32
708,16,0,28,28
709,16,0,32,32
710,16,0,32,32
711,16,0,32,32
712,16,0,32,32
713,16,0,32,32
714,16,0,32,32
715,16,0,32,32
716,16,0,32,32
717,16,0,32,32
718,16,0,32,32
719,16,0,32,32
720,16,0,32,32
721,16,0,32,32
722,16,0,32,32
723,16,0,32,32
724,16,0,36,36
725,16,0,32,32
726,16,0,32,32
727,16,0,32,32
728,16,0,32,32
729,16,0,32,32
730,16,0,32,32
731,16,0,32,32
732,16,0,32,32
733,16,0,32,32
734,16,0,32,32
735,16,0,32,32
736,16,0,32,32
737,16,0,32,32
738,16,0,32,32
739,16,0,32,32
740,16,0,36,36
741,16,0,32,32
742,16,0,32,32
743,16,0,32,32
744,16,0,32,32
745,16,0,32,32
746,16,0,32,32
747,16,0,32,32
748,16,0,32,32
749,16,0,32,32
750,16,0,32,32
751,16,0,32,32
752,16,0,32,32
753,16,0,32,32
754,16,0,32,32
755,16,0,32,32
756,16,0,36,36
757,16,0,32,32
758,16,0,32,32
759,16,0,32,32
760,16,0,32,32
761,16,0,32,32
762,16,0,32,32
763,16,0,32,32
764,16,0,32,32
765,16,0,32,32
766,16,0,32,32
767,16,0,32,32
768,16,0,32,32
769,16,0,32,32
770,16,0,32,32
771,16,0,32,32
772,16,0,36,36
773,16,0,32,32
774,16,0,32,32
775,16,0,32,32
776,16,0,32,32
777,16,0,32,32
778,16,0,32,32
779,16,0,32,32
780,16,0,32,32
781,16,0,32,32
782,16,0,32,32
783,16,0,32,32
784,16,0,32,32
785,16,0,32,32
786,16,0,32,32
787,16,0,32,32
788,16,0,32,32
789,16,0,32,32
790,16,0,32,32
791,16,0,32,32
792,16,0,32,32
793,16,0,32,32
794,16,0,32,32
795,16,0,32,32
796,16,0,36,36
797,16,0,32,32
798,16,0,32,32
799,16,0,32,32
800,16,0,32,32
801,16,0,32,32
802,16,0,32,32
803,16,0,32,32
804,16,0,32,32
805,16,0,32,32
806,16,0,32,32
807,16,0,32,32
808,16,0,32,32
809,16,0,32,32
810,16,0,32,32
811,16,0,32,32
812,16,0,32,32
813,16,0,32,32
814,16,0,32,32
815,16,0,32,32
816,16,0,32,32
817,16,0,32,32
818,16,0,32,32
819,16,0,32,32
820,16,0,32,32
821,16,0,32,32
822,16,0,32,32
823,16,0,32,32
824,16,0,32,32
825,16,0,32,32
826,16,0,32,32
827,16,0,32,32
828,16,0,36,36
829,16,0,32,32
830,16,0,32,32
831,16,0,32,32
832,16,0,32,32
833,16,0,32,32
834,16,0,32,32
835,16,0,32,32
836,16,0,32,32
837,16,0,32,32
838,16,0,32,32
839,16,0,32,32
840,16,0,32,32
841,16,0,32,32
842,16,0,32,32
843,16,0,32,32
844,16,0,32,32
845,16,0,32,32
846,16,0,32,32
847,16,0,32,32
848,16,0,32,32
849,16,0,32,32
850,16,0,32,32
851,16,0,32,32
852,16,0,36,36
853,16,0,32,32
854,16,0,32,32
855,16,0,32,32
856,16,0,32,32
857,16,0,32,32
858,16,0,32,32
859,16,0,32,32
860,16,0,32,32
861,16,0,32,32
862,16,0,32,32
863,16,0,32,32
864,16,0,32,32
865,16,0,32,32
866,16,0,32,32
867,16,0,32,32
868,16,0,32,32
869,16,0,32,32
870,16,0,32,32
871,16,0,32,32
872,16,0,32,32
873,16,0,32,32
874,16,0,32,32
875,16,0,32,32
876,16,0,32,32
877,16,0,32,32
878,16,0,32,32
879,16,0,32,32
880,16,0,32,32
881,16,0,32,32
882,16,0,32,32
883,16,0,32,32
884,16,0,36,36
885,16,0,32,32
886,16,0,32,32
887,16,0,32,32
888,16,0,32,32
889,16,0,32,32
890,16,0,32,32
891,16,0,32,32
892,16,0,32,32
893,16,0,32,32
894,16,0,32,32
895,16,0,32,32
896,16,0,32,32
897,16,0,32,32
898,16,0,32,32
899,16,0,32,32
900,16,0,32,32
901,16,0,32,32
902,16,0,32,32
903,16,0,32,32
904,16,0,32,32
905,16,0,32,32
906,16,0,32,32
907,16,0,32,32
908,16,0,32,32
909,16,0,32,32
910,16,0,32,32
911,16,0,32,32
912,16,0,32,32
913,16,0,32,32
914,16,0,32,32
915,16,0,32,32
916,16,0,36,36
917,16,0,32,32
918,16,0,32,32
919,16,0,32,32
920,16,0,32,32
921,16,0,32,32
922,16,0,32,32
923,16,0,32,32
924,16,0,32,32
925,16,0,32,32
926,16,0,32,32
927,16,0,32,32
928,16,0,32,32
929,16,0,32,32
930,16,0,32,32
931,16,0,32,32
932,16,0,32,32
933,16,0,32,32
934,16,0,32,32
935,16,0,32,32
936,16,0,32,32
937,16,0,32,32
938,16,0,32,32
939,16,0,32,32
940,16,0,32,32
941,16,0,32,32
942,16,0,32,32
943,16,0,32,32
944,16,0,32,32
945,16,0,32,32
946,16,0,32,32
947,16,0,32,32
948,16,0,36,36
949,16,0,32,32
950,16,0,32,32
951,16,0,32,32
952,16,0,32,32
953,16,0,32,32
954,16,0,32,32
955,16,0,32,32
956,16,0,32,32
957,16,0,32,32
958,16,0,32,32
959,16,0,32,32
960,16,0,32,32
961,16,0,32,32
962,16,0,32,32
963,16,0,32,32
964,16,0,32,32
965,16,0,32,32
966,16,0,32,32
967,16,0,32,32
968,16,0,32,32
969,16,0,32,32
970,16,0,32,32
971,16,0,32,32
972,16,0,32,32
973,16,0,32,32
974,16,0,32,32
975,16,0,32,32
976,16,0,32,32
977,16,0,32,32
978,16,0,32,32
979,16,0,32,32
980,16,0,32,32
981,16,0,32,32
982,16,0,32,32
983,16,0,32,32
984,16,0,32,32
985,16,0,32,32
986,16,0,32,32
987,16,0,32,32
988,16,0,32,32
989,16,0,32,32
990,16,0,32,32
991,16,0,32,32
992,16,0,32,32
993,16,0,32,32
994,16,0,32,32
995,16,0,32,32
996,16,0,36,36
997,16,0,46,46
998,16,0,60,60
999,16,0,60,60
1000,16,0,60,60
1001,16,0,46,46
1002,16,0,32,32
1003,16,0,32,32
1004,16,0,32,32
1005,16,0,33,33
1006,16,0,36,36
1007,16,0,36,36
1008,16,0,36,36
1009,16,0,36,36
